ARS sex ageCat f_coeff immGG id year
3 Female 1 0 0.4716796875 253 1994
3 Female 1 0.036407470703125 0.576171875 213 1994
2 Female 1 0.0828323364257812 0.37158203125 320 1996
9 Female 2 0.0828323364257812 0.37158203125 320 1997
3 Female 1 0.0618896484375 0.38525390625 319 1996
6 Female 2 0.0618896484375 0.38525390625 319 1997
8 Female 3to5 0.0618896484375 0.38525390625 319 1998
5 Female 1 0.0718917846679688 0.4921875 272 1996
6 Female 1 0.0565395355224609 0.341064453125 369 1996
4 Female 1 0.0233306884765625 0.5009765625 271 1996
3 Female 1 0.030487060546875 0.37646484375 322 1996
3 Female 1 0.075439453125 0.47705078125 318 1996
7 Female 2 0.075439453125 0.47705078125 318 1997
4 Female 1 0.0463676452636719 0.4140625 370 1996
2 Female 1 0.0386123657226562 0.3505859375 269 1996
7 Female 2 0.0386123657226562 0.3505859375 269 1997
6 Female 3to5 0.0386123657226562 0.3505859375 269 1998
3 Female 1 0.0308990478515625 0.3916015625 270 1996
1 Female 2 0.0308990478515625 0.3916015625 270 1997
2 Female 1 0.056915283203125 0.373046875 317 1996
8 Female 2 0.056915283203125 0.373046875 317 1997
6 Female 3to5 0.056915283203125 0.373046875 317 1998
4 Female 1 0.0807380676269531 0.28515625 385 1997
4 Female 1 0.03564453125 0.52880859375 340 1997
3 Female 1 0.013427734375 0.46923828125 345 1997
5 Female 2 0.013427734375 0.46923828125 345 1998
4 Female 3to5 0.013427734375 0.46923828125 345 1999
5 Female 3to5 0.013427734375 0.46923828125 345 2000
5 Female 1 0.0440864562988281 0.43212890625 344 1997
7 Female 2 0.0440864562988281 0.43212890625 344 1998
6 Female 1 0.0491561889648438 0.46826171875 343 1997
4 Female 2 0.0491561889648438 0.46826171875 343 1998
0 Female 1 0.0908012390136719 0.326904296875 386 1997
3 Female 2 0.0908012390136719 0.326904296875 386 1998
6 Female 1 0.0335235595703125 0.46826171875 346 1997
6 Female 1 0 0.51806640625 341 1997
7 Female 1 0.0233306884765625 0.5009765625 277 1997
5 Female 1 0.0938491821289062 0.295654296875 423 1997
8 Female 2 0.0938491821289062 0.295654296875 423 1998
3 Female 3to5 0.0938491821289062 0.295654296875 423 1999
4 Female 3to5 0.0938491821289062 0.295654296875 423 2000
4 Female 1 0.0386123657226562 0.3505859375 276 1997
2 Female 1 0.0946884155273438 0.4462890625 342 1997
7 Female 2 0.0946884155273438 0.4462890625 342 1998
0 Female 1 0.0640792846679688 0.41943359375 347 1997
0 Female 2 0.0640792846679688 0.41943359375 347 1998
0 Female 3to5 0.0640792846679688 0.41943359375 347 1999
0 Female 3to5 0.0640792846679688 0.41943359375 347 2000
0 Female 3to5 0.0640792846679688 0.41943359375 347 2001
0 Female 6plus 0.0640792846679688 0.41943359375 347 2002
0 Female 6plus 0.0640792846679688 0.41943359375 347 2003
0 Female 6plus 0.0640792846679688 0.41943359375 347 2004
0 Female 6plus 0.0640792846679688 0.41943359375 347 2005
5 Female 1 0.0708403587341309 0.37744140625 457 1998
4 Female 2 0.0708403587341309 0.37744140625 457 1999
5 Female 3to5 0.0708403587341309 0.37744140625 457 2000
3 Female 3to5 0.0708403587341309 0.37744140625 457 2001
3 Female 3to5 0.0708403587341309 0.37744140625 457 2002
2 Female 1 0.07391357421875 0.3330078125 398 1998
4 Female 1 0.0550155639648438 0.4384765625 353 1998
4 Female 2 0.0550155639648438 0.4384765625 353 1999
7 Female 3to5 0.0550155639648438 0.4384765625 353 2000
