row column Ainv
1 1 1.5
2 2 1.5
3 3 1.5
4 4 1.5
5 5 1.5
6 6 1.5
7 7 1.5
8 8 2.5
9 2 0.5
9 9 1.5
10 3 0.5
10 10 1.5
11 4 0.5
11 11 1.5
12 5 0.5
12 12 1.5
13 8 1.5
13 13 2.5
14 6 0.5
14 14 1.5
15 15 2.5
16 7 0.5
16 16 1.5
17 17 1.5
18 18 2
19 19 1.5
20 20 2
21 21 2.5
22 22 1.5
23 23 1.5
24 19 0.5
24 24 1.5
25 18 1
25 25 2
26 26 1.5
27 27 2.5
28 21 1.5
28 28 2.5
29 29 1.5
30 20 1
30 30 2
31 31 1.5
32 32 2.5
33 33 2.00542941757157
34 34 4.58579289644822
35 35 5.05319196281199
36 36 5.54512833570445
37 37 1.50693069306931
38 38 2.00378317940235
39 39 4.09021969047586
40 40 2.5492357044959
41 41 3.0547611186019
42 42 2.51570473924617
43 43 1.52154580789464
44 44 3.55288360043574
45 45 1.52243857458867
46 46 1.51600422299894
47 47 7.82736409649771
48 48 1.53588290788416
49 49 2.59508208059199
50 3 -1
50 10 -1
50 50 2.5
51 4 -1
51 11 -1
51 51 2.5
52 6 -1
52 14 -1
52 15 1.5
52 52 3.5
53 2 -1
53 9 -1
53 53 2.5
54 1 0.5
54 8 -1
54 13 -1
54 54 2.5
55 7 -1
55 16 -1
55 50 0.5
55 53 0.5
55 55 3
56 5 -1
56 12 -1
56 56 2.5
57 8 -1
57 13 -1
57 57 2.5
58 8 -1
58 13 -1
58 51 0.5
58 58 2.5
59 21 -1
59 28 -1
59 59 2.5
60 20 -1
60 30 -1
60 60 3
61 21 -1
61 28 -1
61 61 3
62 18 -1
62 25 -1
62 62 3
63 18 -1
63 25 -1
63 60 1
63 63 3
64 19 -1
64 24 -1
64 61 1
64 64 3
65 20 -1
65 30 -1
65 56 0.5
65 65 2.5
66 21 -1
66 28 -1
66 66 2.5
67 15 -1
67 26 0.5
67 52 -1
67 67 2.5
68 1 -1
68 54 -1
68 57 0.5
68 68 2.5
69 27 0.5
69 50 -1
69 55 -1
69 69 2.5
70 15 -1
70 17 0.5
70 52 -1
70 70 2.5
71 51 -1
71 58 -1
71 62 1
71 71 3
72 15 -1
72 52 -1
72 72 3
73 53 -1
