survive sex ageCat f_coeff immGG id year
0 Female 1 0 0.4716796875 249 1994
0 Male 1 0.03125 0.375 253 1994
1 Male 1 0.0107421875 0.4677734375 225 1994
1 Male 1 0.036407470703125 0.576171875 220 1994
0 Female 1 0.036407470703125 0.576171875 227 1994
0 Male 1 0.036407470703125 0.576171875 257 1994
1 Female 1 0.051055908203125 0.1923828125 248 1994
1 Female 1 0.0225982666015625 0.517578125 232 1994
0 Female 1 0.1014404296875 0.373046875 228 1994
0 Female 1 0.0957870483398438 0.2529296875 236 1994
0 Female 1 0.0548763275146484 0.40283203125 241 1994
1 Male 1 0.0359458923339844 0.60009765625 224 1994
1 Female 1 0.0597381591796875 0.33154296875 234 1994
0 Female 1 0.12493896484375 0.2548828125 243 1994
1 Male 1 0.0233306884765625 0.5009765625 213 1994
0 Male 1 0.0233306884765625 0.5009765625 254 1994
1 Male 1 0.0460052490234375 0.4111328125 215 1994
1 Male 1 0.127349853515625 0.2451171875 218 1994
0 Male 1 0.08282470703125 0.3779296875 251 1994
0 Female 1 0.08282470703125 0.3779296875 230 1994
1 Male 1 0.107315063476562 0.25 221 1994
1 Female 1 0.051055908203125 0.1923828125 238 1994
1 Female 1 0.021484375 0.3671875 246 1994
1 Female 1 0.152156829833984 0.43701171875 244 1994
1 Male 1 0.0864410400390625 0.28662109375 222 1994
0 Male 1 0.0211639404296875 0.498046875 250 1994
1 Male 1 0.122451782226562 0.32275390625 252 1994
0 Female 1 0.122451782226562 0.32275390625 237 1994
1 Male 1 0 0.7080078125 217 1994
1 Female 1 0 0.79296875 235 1994
1 Female 1 0.048492431640625 0.458984375 229 1994
1 Male 1 0.0211639404296875 0.498046875 216 1994
0 Female 1 0.074737548828125 0.3701171875 242 1994
1 Male 1 0.0186843872070312 0.68505859375 226 1994
0 Male 1 0.12493896484375 0.2548828125 258 1994
1 Female 1 0.21136474609375 0.1396484375 231 1994
0 Male 1 0.0568084716796875 0.3662109375 214 1994
1 Female 1 0.0597381591796875 0.33154296875 239 1994
0 Male 1 0.0963134765625 0.46875 219 1994
0 Female 1 0.040802001953125 0.3759765625 245 1994
0 Male 1 0.048858642578125 0.3271484375 256 1994
0 Female 1 0.03564453125 0.52880859375 247 1994
1 Female 1 0.0864410400390625 0.28662109375 233 1994
1 Female 1 0.106719970703125 0.2724609375 240 1994
1 Male 1 0.0233306884765625 0.5009765625 223 1994
