femLRS maleLRS jSurv sex f_coeff immGG DFEs id cohort socdam socsire brood pair
NA NA 1 Female 0 0.4716796875 -1.38370316385099 311 1993 237 114 1 1
3 NA NA Female 0 0.4716796875 0 311 1993 237 114 NA NA
NA NA 1 Female 0.036407470703125 0.576171875 -1.01188692552253 255 1993 141 206 2 2
3 NA NA Female 0.036407470703125 0.576171875 0 255 1993 141 206 NA NA
NA NA 1 Female 0.0828323364257812 0.37158203125 -0.846635264043219 610 1995 148 226 3 3
11 NA NA Female 0.0828323364257812 0.37158203125 0 610 1995 148 226 NA NA
NA NA 1 Female 0.0618896484375 0.38525390625 -0.764009433303562 609 1995 310 254 4 4
17 NA NA Female 0.0618896484375 0.38525390625 0 609 1995 310 254 NA NA
NA NA 1 Female 0.0718917846679688 0.4921875 -0.722696517933734 426 1995 238 231 5 5
5 NA NA Female 0.0718917846679688 0.4921875 0 426 1995 238 231 NA NA
NA NA 1 Female 0.0565395355224609 0.341064453125 -0.516131941084592 856 1995 478 159 6 6
6 NA NA Female 0.0565395355224609 0.341064453125 0 856 1995 478 159 NA NA
NA NA 1 Female 0.0233306884765625 0.5009765625 0.268813450942147 425 1995 147 243 7 7
4 NA NA Female 0.0233306884765625 0.5009765625 0 425 1995 147 243 NA NA
NA NA 1 Female 0.030487060546875 0.37646484375 0.392752197051632 612 1995 381 247 8 8
3 NA NA Female 0.030487060546875 0.37646484375 0 612 1995 381 247 NA NA
NA NA 1 Female 0.075439453125 0.47705078125 0.392752197051632 608 1995 102 378 9 9
10 NA NA Female 0.075439453125 0.47705078125 0 608 1995 102 378 NA NA
NA NA 1 Female 0.0463676452636719 0.4140625 0.558003858530946 857 1995 383 468 10 10
4 NA NA Female 0.0463676452636719 0.4140625 0 857 1995 383 468 NA NA
NA NA 1 Female 0.0386123657226562 0.3505859375 0.640629689270602 423 1995 253 178 11 11
15 NA NA Female 0.0386123657226562 0.3505859375 0 423 1995 253 178 NA NA
NA NA 1 Female 0.0308990478515625 0.3916015625 0.640629689270602 424 1995 148 226 12 3
4 NA NA Female 0.0308990478515625 0.3916015625 0 424 1995 148 226 NA NA
NA NA 1 Female 0.056915283203125 0.373046875 0.764568435380087 607 1995 288 279 13 12
16 NA NA Female 0.056915283203125 0.373046875 0 607 1995 288 279 NA NA
NA NA 1 Female 0.0807380676269531 0.28515625 -1.13582567163202 935 1996 272 467 14 13
4 NA NA Female 0.0807380676269531 0.28515625 0 935 1996 272 467 NA NA
NA NA 1 Female 0.03564453125 0.52880859375 -0.722696517933734 700 1996 284 136 15 14
4 NA NA Female 0.03564453125 0.52880859375 0 700 1996 284 136 NA NA
NA NA 1 Female 0.013427734375 0.46923828125 -0.640070687194077 705 1996 102 527 16 15
17 NA NA Female 0.013427734375 0.46923828125 0 705 1996 102 527 NA NA
NA NA 1 Female 0.0440864562988281 0.43212890625 -0.392193194975107 704 1996 251 277 17 16
12 NA NA Female 0.0440864562988281 0.43212890625 0 704 1996 251 277 NA NA
NA NA 1 Female 0.0491561889648438 0.46826171875 -0.103002787386308 703 1996 423 3364 18 17
10 NA NA Female 0.0491561889648438 0.46826171875 0 703 1996 423 3364 NA NA
NA NA 1 Female 0.0908012390136719 0.326904296875 0.103561789462834 936 1996 473 143 19 18
3 NA NA Female 0.0908012390136719 0.326904296875 0 936 1996 473 143 NA NA
NA NA 1 Female 0.0335235595703125 0.46826171875 0.144874704832662 706 1996 384 379 20 19
6 NA NA Female 0.0335235595703125 0.46826171875 0 706 1996 384 379 NA NA
NA NA 1 Female 0 0.51806640625 0.227500535572319 701 1996 237 300 21 20
6 NA NA Female 0 0.51806640625 0 701 1996 237 300 NA NA
NA NA 1 Female 0.0233306884765625 0.5009765625 0.310126366311975 455 1996 147 243 22 7
7 NA NA Female 0.0233306884765625 0.5009765625 0 455 1996 147 243 NA NA
NA NA 1 Female 0.0938491821289062 0.295654296875 0.723255520010259 1204 1996 823 380 23 21
20 NA NA Female 0.0938491821289062 0.295654296875 0 1204 1996 823 380 NA NA
NA NA 1 Female 0.0386123657226562 0.3505859375 0.805881350749916 454 1996 253 178 24 11
4 NA NA Female 0.0386123657226562 0.3505859375 0 454 1996 253 178 NA NA
NA NA 1 Female 0.0946884155273438 0.4462890625 1.46688799666717 702 1996 425 849 25 22
9 NA NA Female 0.0946884155273438 0.4462890625 0 702 1996 425 849 NA NA
NA NA 1 Female 0.0640792846679688 0.41943359375 1.508200912037 707 1996 306 206 26 23
0 NA NA Female 0.0640792846679688 0.41943359375 0 707 1996 306 206 NA NA
NA NA 1 Female 0.0708403587341309 0.37744140625 -1.17713858700185 1366 1997 604 1198 27 24
20 NA NA Female 0.0708403587341309 0.37744140625 0 1366 1997 604 1198 NA NA
NA NA 1 Female 0.07391357421875 0.3330078125 -0.722696517933734 1025 1997 607 152 28 25
2 NA NA Female 0.07391357421875 0.3330078125 0 1025 1997 607 152 NA NA
NA NA 1 Female 0.0550155639648438 0.4384765625 -0.681383602563906 752 1997 382 295 29 26
15 NA NA Female 0.0550155639648438 0.4384765625 0 752 1997 382 295 NA NA
NA NA 1 Female 0.0815486907958984 0.4501953125 -0.640070687194077 1027 1997 610 527 30 27
3 NA NA Female 0.0815486907958984 0.4501953125 0 1027 1997 610 527 NA NA
NA NA 1 Female 0.0459671020507812 0.51611328125 -0.350880279605279 1026 1997 702 144 31 28
7 NA NA Female 0.0459671020507812 0.51611328125 0 1026 1997 702 144 NA NA
NA NA 1 Female 0.103662490844727 0.3115234375 -0.226941533495793 1239 1997 476 821 32 29
4 NA NA Female 0.103662490844727 0.3115234375 0 1239 1997 476 821 NA NA
NA NA 1 Female 0.0744571685791016 0.444580078125 0.434065112421461 1024 1997 608 258 33 30
23 NA NA Female 0.0744571685791016 0.444580078125 0 1024 1997 608 258 NA NA
NA NA 1 Female 0.102233409881592 0.31591796875 0.516690943161117 1367 1997 534 533 34 31
6 NA NA Female 0.102233409881592 0.31591796875 0 1367 1997 534 533 NA NA
NA NA 1 Female 0.0730819702148438 0.3388671875 0.971133012229229 754 1997 423 421 35 32
3 NA NA Female 0.0730819702148438 0.3388671875 0 754 1997 423 421 NA NA
NA NA 1 Female 0.0335235595703125 0.46826171875 1.09507175833871 753 1997 384 379 36 19
18 NA NA Female 0.0335235595703125 0.46826171875 0 753 1997 384 379 NA NA
NA NA 1 Female 0.0615501403808594 0.309326171875 1.26032341981803 1238 1997 823 693 37 33
0 NA NA Female 0.0615501403808594 0.309326171875 0 1238 1997 823 693 NA NA
NA NA 1 Female 0.0368049144744873 0.4908447265625 -1.42501607922082 1530 1998 1367 933 38 34
0 NA NA Female 0.0368049144744873 0.4908447265625 0 1530 1998 1367 933 NA NA
NA NA 1 Female 0.0757770538330078 0.422119140625 -1.30107733311133 1135 1998 704 265 39 35
0 NA NA Female 0.0757770538330078 0.422119140625 0 1135 1998 704 265 NA NA
NA NA 1 Female 0.0953502655029297 0.440673828125 -1.17713858700185 1123 1998 705 468 40 36
4 NA NA Female 0.0953502655029297 0.440673828125 0 1123 1998 705 468 NA NA
NA NA 1 Female 0.0743255615234375 0.462158203125 0.640629689270602 1271 1998 702 1021 41 37
0 NA NA Female 0.0743255615234375 0.462158203125 0 1271 1998 702 1021 NA NA
NA NA 1 Female 0.0858020782470703 0.3868408203125 0.434065112421461 1305 1999 1123 1023 42 38
7 NA NA Female 0.0858020782470703 0.3868408203125 0 1305 1999 1123 1023 NA NA
NA NA 1 Female 0.114452362060547 0.357177734375 0.640629689270602 1169 1999 705 468 43 36
21 NA NA Female 0.114452362060547 0.357177734375 0 1169 1999 705 468 NA NA
NA NA 1 Female 0.0740036964416504 0.41339111328125 1.46688799666717 1409 1999 753 1202 44 39
3 NA NA Female 0.0740036964416504 0.41339111328125 0 1409 1999 753 1202 NA NA
NA NA 1 Female 0.105484008789062 0.44775390625 1.88001715036545 1536 1999 1366 692 45 40
16 NA NA Female 0.105484008789062 0.44775390625 0 1536 1999 1366 692 NA NA
NA NA 1 Female 0.0402469635009766 0.5772705078125 -1.5489548253303 1316 2000 752 1167 46 41
50 NA NA Female 0.0402469635009766 0.5772705078125 0 1316 2000 752 1167 NA NA
NA NA 1 Female 0.051055908203125 0.1923828125 0.847194266119744 310 1993 125 223 47 42
25 NA NA Female 0.051055908203125 0.1923828125 0 310 1993 125 223 NA NA
NA NA 1 Female 0.0225982666015625 0.517578125 0.805881350749916 303 1993 236 228 48 43
5 NA NA Female 0.0225982666015625 0.517578125 0 303 1993 236 228 NA NA
NA NA 1 Female 0.1014404296875 0.373046875 0.888507181489573 195 1993 156 143 49 44
0 NA NA Female 0.1014404296875 0.373046875 0 195 1993 156 143 NA NA
NA NA 1 Female 0.0957870483398438 0.2529296875 1.05375884296889 304 1993 162 229 50 45
3 NA NA Female 0.0957870483398438 0.2529296875 0 304 1993 162 229 NA NA
NA NA 1 Female 0.0548763275146484 0.40283203125 1.13638467370854 477 1993 193 274 51 46
0 NA NA Female 0.0548763275146484 0.40283203125 0 477 1993 193 274 NA NA
NA NA 1 Female 0.0597381591796875 0.33154296875 1.71476548888614 474 1993 126 277 52 47
