row column Ainv
1 1 1.5
2 2 1.5
3 3 1.5
4 4 1.5
5 5 1.5
6 6 1.5
7 7 1.5
8 8 2.5
9 2 0.5
9 9 1.5
10 3 0.5
10 10 1.5
11 4 0.5
11 11 1.5
12 5 0.5
12 12 1.5
13 8 1.5
13 13 2.5
14 6 0.5
14 14 1.5
15 15 2.5
16 7 0.5
16 16 1.5
17 17 1.5
18 18 2
19 19 1.5
20 20 2
21 21 2.5
22 22 1.5
23 23 1.5
24 19 0.5
24 24 1.5
25 18 1
25 25 2
26 26 1.5
27 27 2.5
28 21 1.5
28 28 2.5
29 29 1.5
30 20 1
30 30 2
31 31 1.5
32 32 2.5
33 33 2.00542941757157
34 34 4.58579289644822
35 35 5.05319196281199
36 36 6.54512833570445
37 37 3.00693069306931
38 38 2.00378317940235
39 39 1.5
40 40 14.4216758518432
41 41 6.55539146292339
42 42 4.55499988696862
43 43 9.77243053283888
44 44 9.7125810323267
45 45 5.07989435211554
46 46 8.79642081360493
47 47 6.61525388431082
48 48 13.5206076789572
49 49 2.54801266899683
50 50 31.7654785538325
51 51 1.52957817567528
52 52 8.96415386322758
53 53 6.3228160513197
54 54 2.06127425417605
55 3 -1
55 10 -1
55 55 2.5
56 4 -1
56 11 -1
56 56 2.5
57 6 -1
57 14 -1
57 15 1.5
57 57 3.5
58 2 -1
58 9 -1
58 58 2.5
59 1 0.5
59 8 -1
59 13 -1
59 59 2.5
60 7 -1
60 16 -1
60 55 0.5
60 58 0.5
60 60 3
61 5 -1
61 12 -1
61 61 2.5
62 8 -1
62 13 -1
62 62 2.5
63 8 -1
63 13 -1
63 56 0.5
63 63 2.5
64 21 -1
64 28 -1
64 64 2.5
65 20 -1
65 30 -1
65 65 3
66 21 -1
66 28 -1
66 66 3
67 18 -1
67 25 -1
67 67 3
68 18 -1
68 25 -1
68 65 1
68 68 3
69 19 -1
69 24 -1
69 66 1
69 69 3
70 20 -1
70 30 -1
70 61 0.5
70 70 2.5
71 21 -1
71 28 -1
71 71 2.5
72 15 -1
72 26 0.5
72 57 -1
72 72 2.5
73 1 -1
73 59 -1
73 62 0.5
73 73 2.5
74 27 0.5
74 55 -1
74 60 -1
74 74 2.5
75 15 -1
75 17 0.5
75 57 -1
