row column Ainv
1 1 1.5
2 2 1.5
3 3 1.5
4 4 1.5
5 5 1.5
6 6 1.5
7 7 1.5
8 8 2.5
9 2 0.5
9 9 1.5
10 3 0.5
10 10 1.5
11 4 0.5
11 11 1.5
12 5 0.5
12 12 1.5
13 8 1.5
13 13 2.5
14 6 0.5
14 14 1.5
15 15 2.5
16 7 0.5
16 16 1.5
17 3 -1
17 10 -1
17 17 2.5
18 4 -1
18 11 -1
18 18 2.5
19 6 -1
19 14 -1
19 15 1.5
19 19 3.5
20 2 -1
20 9 -1
20 20 2.5
21 1 0.5
21 8 -1
21 13 -1
21 21 2.5
22 7 -1
22 16 -1
22 17 0.5
22 20 0.5
22 22 3
23 15 -1
23 19 -1
23 23 2.5
24 1 -1
24 21 -1
24 24 2.5
25 5 -1
25 12 -1
25 25 2.5
26 17 -1
26 22 -1
26 26 2.5
27 15 -1
27 19 -1
27 27 2.5
28 8 -1
28 13 -1
28 24 0.5
28 28 2.5
29 8 -1
29 13 -1
29 18 0.5
29 29 2.5
30 18 -1
30 29 -1
30 30 3
31 24 -1
31 28 -1
31 31 2.53333333333333
32 15 -1
32 19 -1
32 32 3
33 27 0.5
33 33 1.5
34 27 -1
34 33 -1
34 34 2.5
35 20 -1
35 22 -1
35 32 1
35 35 3
36 36 2
37 37 1.5
38 38 2
39 39 2.5
40 40 1.5
41 41 1.5
42 37 0.5
42 42 1.5
43 36 1
43 43 2
44 23 0.5
44 44 1.5
45 26 0.5
45 45 2.5
46 39 1.5
46 46 2.5
47 34 0.5
47 47 1.5
48 38 1
48 48 2
49 34 -1
49 45 1
49 47 -1
49 49 3
50 39 -1
50 46 -1
50 50 2.5
51 38 -1
51 48 -1
51 51 3
52 39 -1
52 46 -1
52 52 3
53 30 1
53 36 -1
53 43 -1
53 53 3
54 31 0.533333333333333
54 32 -1
54 35 -1
54 54 3.03333333333333
55 32 -1
55 35 -1
55 40 0.5
55 55 2.5
56 26 -1
56 41 0.5
56 45 -1
56 56 3
57 36 -1
57 43 -1
57 51 1
57 57 3
58 37 -1
58 42 -1
58 52 1
58 58 3
59 25 0.5
59 38 -1
59 48 -1
59 59 2.5
60 30 -1
60 53 -1
60 60 2.5
61 45 -1
61 49 -1
61 61 2.5
